Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0805_HandSoldering",106.680000,-134.620000,90.000000,bottom
"C2","470n","C_0805_HandSoldering",115.570000,-72.390000,0.000000,bottom
"C3","47n","C_0805_HandSoldering",115.570000,-74.930000,0.000000,bottom
"C4","10n","C_0805_HandSoldering",109.220000,-134.620000,270.000000,bottom
"C6","100n","C_0805_HandSoldering",109.220000,-124.460000,270.000000,bottom
"C8","100nF","C_0805_HandSoldering",138.430000,-93.980000,180.000000,bottom
"C9","100n","C_0805_HandSoldering",182.880000,-124.460000,270.000000,bottom
"C10","100nF","C_0805_HandSoldering",153.670000,-93.980000,0.000000,bottom
"C11","10n","C_0805_HandSoldering",182.880000,-134.620000,270.000000,bottom
"C12","470n","C_0805_HandSoldering",176.530000,-72.390000,180.000000,bottom
"C13","47n","C_0805_HandSoldering",176.530000,-74.930000,180.000000,bottom
"C14","10n","C_0805_HandSoldering",185.420000,-134.620000,90.000000,bottom
"D1","1N4148WS","D_SOD-323_HandSoldering",99.060000,-134.620000,270.000000,bottom
"D2","1N4148WS","D_SOD-323_HandSoldering",101.600000,-134.620000,270.000000,bottom
"D3","1N4148WS","D_SOD-323_HandSoldering",190.500000,-134.620000,270.000000,bottom
"D4","1N4148WS","D_SOD-323_HandSoldering",193.040000,-134.620000,270.000000,bottom
"D5","1N4148WS","D_SOD-323_HandSoldering",120.650000,-121.920000,270.000000,bottom
"D6","1N4148WS","D_SOD-323_HandSoldering",171.450000,-121.920000,270.000000,bottom
"Q1","MMBT3904","SOT-23_Handsoldering",107.950000,-110.490000,90.000000,bottom
"Q2","MMBT3904","SOT-23_Handsoldering",107.950000,-116.840000,270.000000,bottom
"Q3","MMBT3904","SOT-23_Handsoldering",184.150000,-116.840000,270.000000,bottom
"Q4","MMBT3904","SOT-23_Handsoldering",184.150000,-110.490000,90.000000,bottom
"R1","10k","R_0805_HandSoldering",101.600000,-93.980000,180.000000,bottom
"R2","100k","R_0805_HandSoldering",127.000000,-134.620000,270.000000,bottom
"R3","10k","R_0805_HandSoldering",100.330000,-149.860000,90.000000,bottom
"R4","10k","R_0805_HandSoldering",104.140000,-134.620000,270.000000,bottom
"R5","23k7","R_0805_HandSoldering",120.650000,-83.820000,0.000000,bottom
"R6","47k","R_0805_HandSoldering",110.490000,-102.870000,0.000000,bottom
"R7","1M","R_0805_HandSoldering",111.760000,-149.860000,90.000000,bottom
"R8","110k","R_0805_HandSoldering",107.950000,-72.390000,180.000000,bottom
"R9","23k7","R_0805_HandSoldering",120.650000,-81.280000,0.000000,bottom
"R10","100k","R_0805_HandSoldering",138.430000,-88.900000,180.000000,bottom
"R11","100k","R_0805_HandSoldering",114.300000,-134.620000,270.000000,bottom
"R12","100k","R_0805_HandSoldering",107.950000,-74.930000,180.000000,bottom
"R13","47k","R_0805_HandSoldering",130.810000,-102.870000,0.000000,bottom
"R14","1k","R_0805_HandSoldering",102.870000,-149.860000,90.000000,bottom
"R15","1k","R_0805_HandSoldering",114.300000,-149.860000,90.000000,bottom
"R16","1k","R_0805_HandSoldering",127.000000,-149.860000,270.000000,bottom
"R17","1M","R_0805_HandSoldering",124.460000,-149.860000,90.000000,bottom
"R18","110k","R_0805_HandSoldering",133.350000,-72.390000,180.000000,bottom
