Designator,Mid X,Mid Y,Layer,Rotation
C1,106.68,-134.62,bottom,90
C2,115.57,-72.39,bottom,0
C3,115.57,-74.93,bottom,0
C4,109.22,-134.62,bottom,270
C6,109.22,-124.46,bottom,270
C8,138.43,-93.98,bottom,180
C9,182.88,-124.46,bottom,270
C10,153.67,-93.98,bottom,0
C11,182.88,-134.62,bottom,270
C12,176.53,-72.39,bottom,180
C13,176.53,-74.93,bottom,180
C14,185.42,-134.62,bottom,90
D1,99.06,-134.62,bottom,270
D2,101.6,-134.62,bottom,270
D3,190.5,-134.62,bottom,270
D4,193.04,-134.62,bottom,270
D5,120.65,-121.92,bottom,270
D6,171.45,-121.92,bottom,270
Q1,107.95,-110.49,bottom,90
Q2,107.95,-116.84,bottom,270
Q3,184.15,-116.84,bottom,270
Q4,184.15,-110.49,bottom,90
R1,101.6,-93.98,bottom,180
R2,127,-134.62,bottom,270
R3,100.33,-149.86,bottom,90
R4,104.14,-134.62,bottom,270
R5,120.65,-83.82,bottom,0
R6,110.49,-102.87,bottom,0
R7,111.76,-149.86,bottom,90
R8,107.95,-72.39,bottom,180
R9,120.65,-81.28,bottom,0
R10,138.43,-88.9,bottom,180
R11,114.3,-134.62,bottom,270
R12,107.95,-74.93,bottom,180
R13,130.81,-102.87,bottom,0
R14,102.87,-149.86,bottom,90
R15,114.3,-149.86,bottom,90
R16,127,-149.86,bottom,270
R17,124.46,-149.86,bottom,90
R18,133.35,-72.39,bottom,180
R19,123.19,-62.23,bottom,90
R20,118.11,-62.23,bottom,90
R21,138.43,-99.06,bottom,180
R22,133.35,-74.93,bottom,180
R23,139.7,-119.38,bottom,270
R24,139.7,-134.62,bottom,270
R25,139.7,-149.86,bottom,90
R26,106.68,-129.54,bottom,90
R27,109.22,-129.54,bottom,90
R28,106.68,-124.46,bottom,90
R29,185.42,-124.46,bottom,90
R30,152.4,-119.38,bottom,270
R31,152.4,-134.62,bottom,270
R32,152.4,-149.86,bottom,90
R33,182.88,-129.54,bottom,90
R34,185.42,-129.54,bottom,90
R35,161.29,-102.87,bottom,180
R36,142.24,-134.62,bottom,90
R37,158.75,-72.39,bottom,0
R38,153.67,-99.06,bottom,0
R39,189.23,-149.86,bottom,90
R40,165.1,-149.86,bottom,270
R41,177.8,-149.86,bottom,270
R42,158.75,-74.93,bottom,0
R43,168.91,-62.23,bottom,90
R44,173.99,-62.23,bottom,90
R45,181.61,-102.87,bottom,180
R46,177.8,-134.62,bottom,270
R47,167.64,-149.86,bottom,90
R48,184.15,-72.39,bottom,0
R49,153.67,-88.9,bottom,0
R50,171.45,-83.82,bottom,180
R51,184.15,-74.93,bottom,0
R52,171.45,-81.28,bottom,180
R53,187.96,-134.62,bottom,270
R54,191.77,-149.86,bottom,90
R55,165.1,-134.62,bottom,270
R56,190.5,-93.98,bottom,0
R57,180.34,-149.86,bottom,90
U1,146.05,-93.98,bottom,0
