Ref,Val,Package,PosX,PosY,Rot,Side
"C9","10u","c_elec_6.3x5.8",140.970000,-93.980000,270.000000,bottom
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.030000,-74.930000,0.000000,bottom
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.840000,-91.440000,90.000000,bottom
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.910000,-62.230000,90.000000,bottom
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",163.830000,-74.930000,0.000000,bottom
"C15","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.110000,-62.230000,90.000000,bottom
"C16","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.640000,-91.440000,90.000000,bottom
"C18","10u","c_elec_6.3x5.8",148.590000,-93.980000,90.000000,bottom
"C19","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.450000,-62.230000,270.000000,bottom
"C21","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.530000,-74.930000,0.000000,bottom
"C22","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.650000,-62.230000,270.000000,bottom
"C23","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",125.730000,-74.930000,0.000000,bottom
"C25","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.720000,-91.440000,270.000000,bottom
"C26","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.920000,-91.440000,270.000000,bottom
"C27","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",143.510000,-114.300000,270.000000,bottom
"C28","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.050000,-114.300000,90.000000,bottom
"D1","1N5819HW","D_SOD-123",137.160000,-86.360000,0.000000,bottom
"D2","1N5819HW","D_SOD-123",152.400000,-86.360000,0.000000,bottom
