Ref,Val,Package,PosX,PosY,Rot,Side
"C1","560p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.760000,-67.310000,180.000000,top
"C2","560p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",177.800000,-67.310000,0.000000,top
"C3","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.000000,-72.390000,180.000000,top
"C4","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.560000,-72.390000,0.000000,top
"C5","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.380000,-97.790000,0.000000,top
"C6","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",170.180000,-97.790000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.160000,-118.110000,0.000000,top
"C17","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.160000,-130.810000,0.000000,top
"C20","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.400000,-113.030000,180.000000,top
"C24","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.400000,-130.810000,0.000000,top
"C29","1n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.905000,-78.105000,180.000000,top
"C30","1n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.655000,-78.105000,0.000000,top
"D3","1N4148WS","D_SOD-323_HandSoldering",142.240000,-123.190000,180.000000,top
"D4","1N4148WS","D_SOD-323_HandSoldering",147.320000,-123.190000,0.000000,top
"D5","1N4148WS","D_SOD-323_HandSoldering",142.240000,-110.490000,0.000000,top
"D6","1N4148WS","D_SOD-323_HandSoldering",147.320000,-110.490000,180.000000,top
"D7","1N4148WS","D_SOD-323_HandSoldering",137.160000,-133.350000,0.000000,top
"D8","1N4148WS","D_SOD-323_HandSoldering",111.760000,-86.360000,0.000000,top
"D9","1N4148WS","D_SOD-323_HandSoldering",177.800000,-86.360000,180.000000,top
