Designator,Mid X,Mid Y,Layer,Rotation
C1,111.76,-67.31,top,180
C2,177.8,-67.31,top,0
C3,127,-72.39,top,180
C4,162.56,-72.39,top,0
C5,119.38,-97.79,top,0
C6,170.18,-97.79,top,180
C14,137.16,-118.11,top,0
C17,137.16,-130.81,top,0
C20,152.4,-113.03,top,180
C24,152.4,-130.81,top,0
C29,128.905,-78.105,top,180
C30,160.655,-78.105,top,0
D3,142.24,-123.19,top,180
D4,147.32,-123.19,top,0
D5,142.24,-110.49,top,0
D6,147.32,-110.49,top,180
D7,137.16,-133.35,top,0
D8,111.76,-86.36,top,0
D9,177.8,-86.36,top,180
D10,111.76,-83.82,top,180
D11,177.8,-83.82,top,0
D12,133.35,-59.69,top,90
D13,133.35,-54.61,top,270
D14,156.21,-59.69,top,90
D15,156.21,-54.61,top,270
D16,111.76,-96.52,top,0
D17,177.8,-96.52,top,180
D18,127,-87.63,top,180
D19,127,-93.98,top,180
D20,162.56,-87.63,top,0
D21,162.56,-93.98,top,0
D22,119.38,-100.33,top,180
D23,170.18,-100.33,top,0
D24,102.87,-57.15,top,0
D25,186.69,-57.15,top,180
Q1,102.87,-93.98,top,180
Q2,186.69,-93.98,top,0
Q3,102.87,-97.79,top,180
Q4,186.69,-97.79,top,0
R1,162.56,-96.52,top,180
R2,127,-96.52,top,0
R3,152.4,-115.57,top,180
R4,111.76,-62.23,top,0
R5,177.8,-62.23,top,180
R6,119.38,-52.07,top,180
R7,127,-62.23,top,0
R8,111.76,-52.07,top,0
R9,127,-59.69,top,0
R10,111.76,-54.61,top,0
R11,102.87,-59.69,top,180
R12,170.18,-52.07,top,0
R13,162.56,-62.23,top,180
R14,177.8,-52.07,top,180
R15,162.56,-59.69,top,180
R16,177.8,-54.61,top,180
R17,186.69,-59.69,top,0
R18,152.4,-118.11,top,180
R19,137.16,-115.57,top,0
R20,102.87,-87.63,top,180
R21,102.87,-90.17,top,180
R22,186.69,-87.63,top,0
R23,186.69,-90.17,top,0
R24,102.87,-74.93,top,0
R25,186.69,-74.93,top,180
R26,111.76,-49.53,top,180
R27,111.76,-59.69,top,180
R28,111.76,-57.15,top,0
R29,177.8,-49.53,top,0
R30,177.8,-59.69,top,0
R31,177.8,-57.15,top,180
R32,127,-57.15,top,0
R33,102.87,-85.09,top,0
R34,162.56,-57.15,top,180
R35,186.69,-85.09,top,180
R36,102.87,-80.01,top,0
R37,102.87,-77.47,top,180
R38,186.69,-80.01,top,180
R39,186.69,-77.47,top,0
R40,151.13,-127,top,270
R41,138.43,-127,top,270
R42,102.87,-82.55,top,180
R43,186.69,-82.55,top,0
R44,153.67,-127,top,90
R45,135.89,-127,top,90
R46,127,-54.61,top,0
R47,127,-52.07,top,0
R48,119.38,-49.53,top,0
R49,162.56,-54.61,top,180
R50,162.56,-52.07,top,180
R51,170.18,-49.53,top,180
R52,111.76,-74.93,top,180
R53,177.8,-74.93,top,0
R54,111.76,-77.47,top,180
R55,177.8,-77.47,top,0
R56,111.76,-69.85,top,180
R57,177.8,-69.85,top,0
R58,111.76,-72.39,top,0
R59,177.8,-72.39,top,180
R60,152.4,-135.89,top,0
R61,102.87,-72.39,top,180
R62,186.69,-72.39,top,0
R63,119.38,-67.31,top,0
R64,119.38,-82.55,top,0
R65,170.18,-67.31,top,180
R66,170.18,-82.55,top,180
R67,152.4,-133.35,top,180
R68,127,-64.77,top,0
R69,127,-49.53,top,0
R70,162.56,-64.77,top,180
R71,162.56,-49.53,top,180
R72,127,-69.85,top,0
R73,162.56,-69.85,top,180
R74,111.76,-88.9,top,180
R75,111.76,-91.44,top,180
R76,177.8,-88.9,top,180
R77,177.8,-91.44,top,0
R78,111.76,-93.98,top,0
R79,177.8,-93.98,top,180
R80,127,-67.31,top,180
R81,162.56,-67.31,top,0
R82,143.51,-83.82,top,90
R83,146.05,-83.82,top,270
R84,111.76,-99.06,top,180
R85,177.8,-99.06,top,0
R86,143.51,-96.52,top,90
R87,146.05,-96.52,top,270
R88,143.51,-90.17,top,270
R89,146.05,-90.17,top,90
R90,152.4,-138.43,top,0
R91,152.4,-140.97,top,0
T1,139.7,-54.61,top,180
T2,139.7,-59.69,top,180
T3,149.86,-54.61,top,0
T4,149.86,-59.69,top,0
U1,119.38,-59.69,top,0
U2,119.38,-74.93,top,0
U3,119.38,-90.17,top,0
U4,170.18,-59.69,top,0
U5,170.18,-74.93,top,0
U6,170.18,-90.17,top,0
U7,144.78,-116.84,top,0
U8,144.78,-130.81,top,0
U9,144.78,-140.335,top,180
